date,deaths_new,deaths_bid,deaths_new_dod,deaths_bid_dod,deaths_unvax,deaths_pvax,deaths_fvax,deaths_boost,deaths_tat
2020/3/17,2,0,2,0,2,0,0,0,0
2020/3/18,0,0,0,0,0,0,0,0,0
2020/3/19,0,0,0,0,0,0,0,0,0
2020/3/20,1,0,1,0,1,0,0,0,0
2020/3/21,4,0,4,0,4,0,0,0,0
2020/3/22,4,1,4,1,4,0,0,0,0
2020/3/23,5,0,5,0,5,0,0,0,0
2020/3/24,2,0,2,0,2,0,0,0,0
2020/3/25,3,0,3,0,3,0,0,0,0
2020/3/26,5,0,5,0,5,0,0,0,0
2020/3/27,2,1,2,1,2,0,0,0,0
2020/3/28,6,0,6,0,6,0,0,0,0
2020/3/29,5,0,5,0,5,0,0,0,0
2020/3/30,4,0,4,0,4,0,0,0,0
2020/3/31,5,0,5,0,5,0,0,0,0
2020/4/1,2,0,2,0,2,0,0,0,0
2020/4/2,2,0,2,0,2,0,0,0,0
2020/4/3,5,0,5,0,5,0,0,0,0
2020/4/4,3,0,3,0,3,0,0,0,0
2020/4/5,2,0,2,0,2,0,0,0,0
2020/4/6,2,1,2,1,2,0,0,0,0
2020/4/7,1,0,1,0,1,0,0,0,0
2020/4/8,1,0,1,0,1,0,0,0,0
2020/4/9,2,0,2,0,2,0,0,0,0
2020/4/10,3,0,3,0,3,0,0,0,0
2020/4/11,3,0,3,0,3,0,0,0,0
2020/4/12,5,0,5,0,5,0,0,0,0
2020/4/13,1,0,1,0,1,0,0,0,0
2020/4/14,3,0,3,0,3,0,0,0,0
2020/4/15,2,0,2,0,2,0,0,0,0
2020/4/16,2,0,2,0,2,0,0,0,0
2020/4/17,1,0,1,0,1,0,0,0,0
2020/4/18,0,0,0,0,0,0,0,0,0
2020/4/19,1,0,1,0,1,0,0,0,0
2020/4/20,1,0,1,0,1,0,0,0,0
2020/4/21,2,0,2,0,2,0,0,0,0
2020/4/22,2,0,2,0,2,0,0,0,0
2020/4/23,1,0,1,0,1,0,0,0,0
2020/4/24,1,0,1,0,1,0,0,0,0
2020/4/25,2,0,2,0,2,0,0,0,0
2020/4/26,0,0,0,0,0,0,0,0,0
2020/4/27,1,0,1,0,1,0,0,0,0
2020/4/28,1,0,1,0,1,0,0,0,0
2020/4/29,1,0,1,0,1,0,0,0,0
2020/4/30,2,0,2,0,2,0,0,0,0
2020/5/1,0,0,0,0,0,0,0,0,0
2020/5/2,1,0,1,0,1,0,0,0,0
2020/5/3,1,0,1,0,1,0,0,0,0
2020/5/4,0,0,0,0,0,0,0,0,0
2020/5/5,2,0,2,0,2,0,0,0,0
2020/5/6,0,0,0,0,0,0,0,0,0
2020/5/7,1,0,1,0,1,0,0,0,0
2020/5/8,0,0,0,0,0,0,0,0,0
2020/5/9,1,0,1,0,1,0,0,0,0
2020/5/10,1,0,1,0,1,0,0,0,0
2020/5/11,0,0,0,0,0,0,0,0,0
2020/5/12,1,0,1,0,1,0,0,0,0
2020/5/13,2,1,2,1,2,0,0,0,0
2020/5/14,0,0,0,0,0,0,0,0,0
2020/5/15,0,0,0,0,0,0,0,0,0
2020/5/16,0,0,0,0,0,0,0,0,0
2020/5/17,0,0,0,0,0,0,0,0,0
2020/5/18,1,0,1,0,1,0,0,0,0
2020/5/19,0,0,0,0,0,0,0,0,0
2020/5/20,0,0,0,0,0,0,0,0,0
2020/5/21,1,0,1,0,1,0,0,0,0
2020/5/22,0,0,0,0,0,0,0,0,0
2020/5/23,0,0,0,0,0,0,0,0,0
2020/5/24,0,0,0,0,0,0,0,0,0
2020/5/25,0,0,0,0,0,0,0,0,0
2020/5/26,0,0,0,0,0,0,0,0,0
2020/5/27,0,0,0,0,0,0,0,0,0
2020/5/28,0,0,0,0,0,0,0,0,0
2020/5/29,0,0,0,0,0,0,0,0,0
2020/5/30,0,0,0,0,0,0,0,0,0
2020/5/31,0,0,0,0,0,0,0,0,0
2020/6/1,0,0,0,0,0,0,0,0,0
2020/6/2,0,0,0,0,0,0,0,0,0
2020/6/3,0,0,0,0,0,0,0,0,0
2020/6/4,1,0,1,0,1,0,0,0,0
2020/6/5,1,0,1,0,1,0,0,0,0
2020/6/6,0,0,0,0,0,0,0,0,0
2020/6/7,0,0,0,0,0,0,0,0,0
2020/6/8,0,0,0,0,0,0,0,0,0
2020/6/9,0,0,0,0,0,0,0,0,0
2020/6/10,1,0,1,0,1,0,0,0,0
